"Federal Provider Number","Provider State","Percent Vaccinated Residents","Percent Vaccinated Healthcare Personnel","Percent of Fully Vaccinated Residents who Received a Booster Dose","Percent of Fully Vaccinated Staff who Received a Booster Dose","Date vaccination data last updated"
"225732","MA","96.5","100.0","70.9","97.6","03/20/2022"
"225736","MA","100.0","100.0","100.0","100.0","03/20/2022"
"225738","MA","100.0","99.1","93.3","99.1","03/20/2022"
"225739","MA","91.7","100.0","81.8","89.3","03/20/2022"
"225740","MA","91.0","100.0","93.8","99.2","03/20/2022"
"225743","MA","95.6","100.0","100.0","95.7","03/20/2022"
"225747","MA","89.0","96.6","70.1","88.5","03/20/2022"
"225748","MA","83.3","100.0","93.3","96.9","03/20/2022"
"225749","MA","90.6","100.0","83.3","80.3","03/20/2022"
"225750","MA","94.3","100.0","92.9","97.0","03/20/2022"
"225752","MA","97.1","97.8","97.1","68.9","03/20/2022"
"225755","MA","100.0","100.0","97.8","100.0","03/20/2022"
"225757","MA","95.2","93.4","6.7","41.5","03/20/2022"
"225759","MA","100.0","97.1","98.2","95.5","03/20/2022"
"225760","MA","97.8","92.8","95.5","100.0","03/20/2022"
"225762","MA","95.6","100.0","95.3","97.7","03/20/2022"
"225763","MA","98.1","100.0","92.5","95.7","03/20/2022"
"225764","MA","95.7","100.0","90.9","95.9","03/20/2022"
"225766","MA","93.0","100.0","80.6","75.6","03/20/2022"
"225767","MA","98.2","96.4","98.1","97.8","03/20/2022"
"225768","MA","100.0","100.0","96.7","97.2","03/20/2022"
"225769","MA","96.5","100.0","87.8","93.5","03/20/2022"
"225770","MA","84.7","100.0","68.9","98.5","03/20/2022"
"225771","MA","94.4","90.3","80.4","83.9","03/20/2022"
"225772","MA","100.0","100.0","100.0","96.7","03/20/2022"
"225773","MA","100.0","93.9","96.7","90.6","03/20/2022"
"225774","MA","100.0","100.0","88.7","100.0","03/20/2022"
"225775","MA","99.0","100.0","88.4","94.7","03/20/2022"
"225777","MA","100.0","100.0","70.0","98.2","03/20/2022"
"225778","MA","100.0","100.0","100.0","98.1","03/20/2022"
"225781","MA","97.5","100.0","100.0","95.5","03/20/2022"
"225782","MA","100.0","98.9","96.4","100.0","03/20/2022"
"225783","MA","100.0","97.6","100.0","100.0","03/20/2022"
"225784","MA","100.0","93.5","90.9","90.7","03/20/2022"
"22A345","MA","88.0","100.0","80.3","97.0","03/20/2022"
"235002","MI","87.5","51.9","75.7","22.0","03/20/2022"
"235003","MI","95.3","93.9","95.1","67.7","03/20/2022"
"235004","MI","85.7","75.8","77.8","23.2","03/20/2022"
"235005","MI","94.4","99.3","98.5","64.0","03/20/2022"
"235006","MI","91.3","86.8","95.2","21.7","03/20/2022"
"235008","MI","87.1","61.7","89.2","32.7","03/20/2022"
"235009","MI","93.9","75.6","96.0","39.9","03/20/2022"
"235011","MI","100.0","74.5","90.9","42.7","03/20/2022"
"235013","MI","91.5","45.3","95.3","41.4","03/20/2022"
"235014","MI","96.3","70.0","100.0","100.0","03/20/2022"
"235015","MI","94.2","92.5","93.2","44.0","03/20/2022"
"235016","MI","92.1","76.7","86.2","29.0","03/20/2022"
"235019","MI","92.9","92.2","89.0","25.5","03/20/2022"
"235020","MI","93.8","100.0","85.8","30.0","03/20/2022"
"235021","MI","86.1","71.9","85.3","43.5","03/20/2022"
"235022","MI","84.6","72.1","95.5","37.5","03/20/2022"
"235023","MI","86.3","100.0","72.7","16.7","03/20/2022"
"235025","MI","90.2","88.2","90.5","59.9","03/20/2022"
"235026","MI","96.5","83.4","86.6","62.6","03/20/2022"
"235027","MI","92.2","80.3","83.2","51.9","03/20/2022"
"235028","MI","89.7","63.2","91.4","44.5","03/20/2022"
"235031","MI","95.8","75.1","96.3","45.3","03/20/2022"
"235032","MI","87.5","80.0","77.8","18.3","03/20/2022"
"235033","MI","95.8","82.4","94.2","42.7","03/20/2022"
"235035","MI","93.0","90.1","94.2","27.8","03/20/2022"
"235036","MI","85.5","79.8","60.4","38.8","03/20/2022"
"235037","MI","91.4","83.7","93.8","45.6","03/20/2022"
"235038","MI","95.8","85.7","93.5","19.0","03/20/2022"
"235039","MI","96.0","94.0","90.3","74.3","03/20/2022"
"235041","MI","97.9","94.6","87.0","45.7","03/20/2022"
"235044","MI","96.0","82.3","83.3","41.2","03/20/2022"
"235050","MI","84.7","71.3","0.0","4.0","03/20/2022"
"235051","MI","92.0","86.2","73.9","8.0","03/20/2022"
"235052","MI","92.9","74.7","94.9","40.8","03/20/2022"
"235054","MI","96.4","76.0","96.3","39.5","03/20/2022"
"235056","MI","92.7","72.7","89.5","34.2","03/20/2022"
"235057","MI","57.3","52.1","0.0","20.0","03/20/2022"
"235058","MI","83.3","61.3","80.9","36.4","03/20/2022"
"235062","MI","100.0","98.8","94.9","50.6","03/20/2022"
"235065","MI","93.3","82.0","96.4","38.5","03/20/2022"
"235067","MI","89.1","81.3","94.3","33.8","03/20/2022"
"235069","MI","87.8","75.9","92.3","29.5","03/20/2022"
"235072","MI","95.8","85.6","94.1","62.6","03/20/2022"
"235074","MI","89.3","64.4","72.0","48.3","03/20/2022"
"235075","MI","86.7","89.5","74.5","29.3","03/20/2022"
"235076","MI","92.2","84.1","89.4","46.3","03/20/2022"
"235088","MI","99.2","94.4","95.4","65.2","03/20/2022"
"235089","MI","93.7","68.0","96.6","40.3","03/20/2022"
"235094","MI","83.3","91.8","76.9","39.7","03/20/2022"
"235102","MI","70.8","82.4","61.4","20.0","03/20/2022"
"235103","MI","77.8","48.9","46.7","13.2","03/20/2022"
"235109","MI","68.3","76.0","65.1","47.8","03/20/2022"
"235113","MI","95.4","88.4","83.9","42.9","03/20/2022"
"235116","MI","94.0","91.3","87.3","37.9","03/20/2022"
"235123","MI","86.0","79.3","90.7","56.3","03/20/2022"
"235132","MI","67.3","97.0","27.3","4.7","03/20/2022"
"235139","MI","87.8","76.7","84.8","15.7","03/20/2022"
"235143","MI","84.4","75.7","70.4","1.1","03/20/2022"
"235144","MI","93.8","59.4","86.7","31.7","03/20/2022"
"235147","MI","94.0","93.2","100.0","79.4","03/20/2022"
"235150","MI","83.1","90.3","89.0","35.8","03/20/2022"
"235155","MI","90.1","64.5","79.4","21.1","03/20/2022"
"235157","MI","94.4","65.8","84.3","29.2","03/20/2022"
"235164","MI","86.3","93.9","75.6","29.9","03/20/2022"
"235171","MI","82.9","71.1","91.2","43.8","03/20/2022"
"235174","MI","75.9","80.0","75.0","32.9","03/20/2022"
"235175","MI","76.5","70.4","84.6","28.9","03/20/2022"
"235176","MI","93.8","86.2","91.7","57.1","03/20/2022"
"235177","MI","86.9","81.4","72.6","21.8","03/20/2022"
"235179","MI","88.4","79.5","84.2","51.4","03/20/2022"
"235182","MI","75.4","74.2","67.4","38.9","03/20/2022"
"235184","MI","68.3","79.6","64.8","33.7","03/20/2022"
"235187","MI","59.6","83.6","85.7","14.1","03/20/2022"
"235192","MI","87.5","98.3","95.2","40.7","03/20/2022"
"235197","MI","95.0","79.1","93.0","44.8","03/20/2022"
"235201","MI","92.3","91.2","95.8","76.9","03/20/2022"
"235205","MI","82.9","79.1","58.8","54.7","03/20/2022"
"235206","MI","87.5","68.6","63.6","12.4","03/20/2022"
"235207","MI","90.7","100.0","83.5","36.6","03/20/2022"
"235209","MI","92.8","89.1","95.3","70.7","03/20/2022"
"235213","MI","100.0","100.0","94.4","59.1","03/20/2022"
"235214","MI","76.3","88.1","70.5","8.1","03/20/2022"
"235217","MI","91.4","91.8","71.8","21.0","03/20/2022"
"235223","MI","97.6","94.9","95.1","13.6","03/20/2022"
"235224","MI","95.3","91.9","91.5","35.6","03/20/2022"
"235225","MI","88.4","75.1","82.4","47.5","03/20/2022"
"235226","MI","85.2","79.5","88.4","34.3","03/20/2022"
"235228","MI","88.0","97.5","86.4","30.4","03/20/2022"
"235232","MI","66.7","44.7","16.7","94.7","03/20/2022"
"235234","MI","74.1","59.6","64.0","29.9","03/20/2022"
"235236","MI","81.5","88.7","81.8","24.7","03/20/2022"
"235237","MI","94.9","91.4","92.0","62.3","03/20/2022"
"235238","MI","99.3","88.3","88.9","20.6","03/20/2022"
"235242","MI","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"235243","MI","84.4","88.7","75.0","43.1","03/20/2022"
"235244","MI","87.7","62.4","79.7","33.8","03/20/2022"
"235245","MI","94.4","80.4","83.5","56.9","03/20/2022"
"235248","MI","100.0","100.0","100.0","46.6","03/20/2022"
"235249","MI","90.0","80.5","93.8","50.5","03/20/2022"
"235250","MI","80.2","92.2","67.7","14.2","03/20/2022"
"235252","MI","97.5","98.2","87.2","45.0","03/20/2022"
"235253","MI","91.8","85.3","92.1","46.1","03/20/2022"
"235254","MI","90.6","75.3","89.7","37.1","03/20/2022"
"235256","MI","88.1","84.0","84.7","26.8","03/20/2022"
"235257","MI","94.0","81.6","90.9","42.7","03/20/2022"
"235259","MI","81.3","95.3","69.7","29.6","03/20/2022"
"235260","MI","92.3","79.4","87.0","17.3","03/20/2022"
"235261","MI","88.3","79.5","84.9","34.0","03/20/2022"
"235262","MI","86.4","73.4","82.5","12.1","03/20/2022"
"235263","MI","80.1","72.9","55.0","17.6","03/20/2022"
"235264","MI","89.2","90.7","66.7","85.3","03/20/2022"
"235266","MI","80.8","92.2","98.4","31.0","03/20/2022"
"235267","MI","100.0","96.6","86.9","65.9","03/20/2022"
"235269","MI","90.0","75.2","92.6","62.6","03/20/2022"
"235270","MI","88.7","74.2","81.0","59.4","03/20/2022"
"235274","MI","89.6","79.6","88.4","63.2","03/20/2022"
"235279","MI","95.2","84.2","90.0","61.4","03/20/2022"
"235280","MI","92.8","80.2","96.1","46.6","03/20/2022"
"235281","MI","95.2","75.0","86.4","47.2","03/20/2022"
"235282","MI","97.3","81.8","88.9","42.6","03/20/2022"
"235283","MI","87.7","74.8","87.7","54.7","03/20/2022"
"235284","MI","78.1","91.0","54.0","33.3","03/20/2022"
"235285","MI","81.4","87.2","72.9","53.3","03/20/2022"
"235286","MI","79.3","81.0","84.8","45.7","03/20/2022"
"235287","MI","83.9","86.3","80.8","47.6","03/20/2022"
"235288","MI","85.0","76.2","79.1","26.3","03/20/2022"
"235289","MI","95.6","100.0","83.1","30.1","03/20/2022"
"235290","MI","83.7","66.3","75.3","16.4","03/20/2022"
"235292","MI","83.8","78.3","91.9","28.9","03/20/2022"
"235293","MI","73.4","82.7","61.7","37.3","03/20/2022"
"235294","MI","77.3","78.8","72.4","12.8","03/20/2022"
"235295","MI","82.6","71.6","94.7","60.3","03/20/2022"
"235296","MI","80.0","74.2","79.8","23.5","03/20/2022"
"235297","MI","92.5","84.4","78.4","41.0","03/20/2022"
"235298","MI","76.2","91.0","84.4","28.7","03/20/2022"
"235299","MI","81.3","78.3","42.9","24.7","03/20/2022"
"235300","MI","78.2","86.2","79.7","41.6","03/20/2022"
"235301","MI","78.0","89.7","94.9","24.8","03/20/2022"
"235302","MI","84.1","74.5","81.1","37.3","03/20/2022"
"235310","MI","88.3","79.5","90.6","36.0","03/20/2022"
"235311","MI","90.4","90.4","80.3","37.1","03/20/2022"
"235312","MI","71.9","65.6","34.8","20.3","03/20/2022"
"235313","MI","83.6","88.9","78.4","47.3","03/20/2022"
"235319","MI","95.4","88.3","88.0","38.9","03/20/2022"
"235320","MI","79.6","88.7","80.8","21.6","03/20/2022"
"235321","MI","99.1","96.2","98.2","62.4","03/20/2022"
"235322","MI","87.0","98.4","45.0","47.6","03/20/2022"
"235324","MI","100.0","90.2","19.4","24.3","03/20/2022"
"235325","MI","83.6","95.4","77.8","27.8","03/20/2022"
"235327","MI","89.9","85.8","71.8","37.8","03/20/2022"
"235330","MI","88.1","65.6","78.4","28.6","03/20/2022"
"235331","MI","90.8","67.9","85.3","49.1","03/20/2022"
"235332","MI","89.6","89.8","75.0","23.7","03/20/2022"
"235333","MI","64.4","73.0","55.4","21.8","03/20/2022"
"235335","MI","79.5","81.0","64.5","47.1","03/20/2022"
"235336","MI","95.2","89.9","96.7","76.3","03/20/2022"
"235339","MI","93.8","79.2","96.1","54.0","03/20/2022"
"235343","MI","73.7","68.2","77.0","28.1","03/20/2022"
"235345","MI","80.7","75.9","78.3","20.9","03/20/2022"
"235347","MI","90.0","71.8","100.0","35.7","03/20/2022"
"235349","MI","94.9","74.7","78.4","15.3","03/20/2022"
"235350","MI","91.5","81.4","87.7","21.0","03/20/2022"
"235351","MI","87.6","80.0","78.2","22.1","03/20/2022"
"235352","MI","90.8","82.9","88.1","40.0","03/20/2022"
"235354","MI","83.6","86.3","86.3","39.8","03/20/2022"
"235355","MI","93.1","66.7","11.1","61.8","03/20/2022"
"235356","MI","86.8","85.4","72.7","38.5","03/20/2022"
"235357","MI","86.6","71.7","90.5","16.7","03/20/2022"
"235358","MI","84.1","79.5","72.4","36.2","03/20/2022"
"235359","MI","77.6","86.7","55.9","45.8","03/20/2022"
"235360","MI","89.1","82.9","83.7","36.2","03/20/2022"
"235361","MI","78.0","56.1","90.6","13.0","03/20/2022"
"235363","MI","95.2","81.9","46.0","12.4","03/20/2022"
"235365","MI","81.5","70.2","100.0","45.3","03/20/2022"
"235366","MI","98.1","85.9","88.5","32.8","03/20/2022"
"235367","MI","100.0","87.6","92.9","67.9","03/20/2022"
"235369","MI","87.3","78.1","79.3","37.1","03/20/2022"
"235370","MI","80.4","70.5","70.7","33.3","03/20/2022"
"235371","MI","85.5","60.9","81.5","50.7","03/20/2022"
"235372","MI","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"235373","MI","92.2","73.3","97.9","34.4","03/20/2022"
"235374","MI","89.3","92.9","94.0","13.5","03/20/2022"
"235375","MI","89.3","68.0","88.0","52.9","03/20/2022"
"235376","MI","94.9","80.6","76.0","30.3","03/20/2022"
"235377","MI","90.8","83.8","90.7","43.0","03/20/2022"
"235378","MI","83.5","67.6","31.0","26.5","03/20/2022"
"235379","MI","88.4","85.3","77.0","32.3","03/20/2022"
"235380","MI","84.2","72.9","64.6","38.7","03/20/2022"
"235381","MI","97.3","78.0","83.3","71.8","03/20/2022"
"235382","MI","98.4","98.8","75.0","22.8","03/20/2022"
"235383","MI","90.5","60.3","40.0","83.5","03/20/2022"
"235384","MI","90.0","77.2","79.2","46.7","03/20/2022"
"235385","MI","92.1","95.0","93.9","71.2","03/20/2022"
"235388","MI","86.9","82.0","94.2","28.0","03/20/2022"
"235395","MI","79.0","87.8","60.9","13.8","03/20/2022"
"235396","MI","83.1","72.5","59.4","30.0","03/20/2022"
"235399","MI","91.1","87.5","87.8","55.1","03/20/2022"
"235400","MI","85.3","78.9","89.7","62.5","03/20/2022"
"235401","MI","94.1","68.3","90.6","28.6","03/20/2022"
"235402","MI","88.6","90.7","89.7","36.2","03/20/2022"
"235405","MI","86.6","97.1","56.7","40.2","03/20/2022"
"235407","MI","86.2","77.9","93.3","41.5","03/20/2022"
"235408","MI","79.0","87.2","76.1","11.8","03/20/2022"
"235410","MI","94.1","87.4","87.5","34.6","03/20/2022"
"235411","MI","93.2","84.7","70.7","69.4","03/20/2022"
"235412","MI","93.7","91.5","76.3","0.0","03/20/2022"
"235414","MI","89.1","85.2","73.5","49.3","03/20/2022"
"235416","MI","69.2","92.5","85.2","51.4","03/20/2022"
"235421","MI","74.5","82.4","64.6","38.5","03/20/2022"
"235422","MI","70.0","91.6","53.8","4.2","03/20/2022"
"235423","MI","85.7","80.9","83.3","21.3","03/20/2022"
"235427","MI","82.1","96.0","74.7","76.7","03/20/2022"
"235428","MI","70.5","88.1","64.6","38.7","03/20/2022"
"235429","MI","81.8","86.7","88.9","38.5","03/20/2022"
"235430","MI","100.0","100.0","100.0","41.2","03/20/2022"
"235432","MI","100.0","84.1","83.0","32.1","03/20/2022"
"235433","MI","80.0","84.4","78.1","38.2","03/20/2022"
"235434","MI","92.6","98.6","95.5","55.6","03/20/2022"
"235438","MI","87.7","68.0","100.0","36.8","03/20/2022"
"235439","MI","79.8","82.9","62.1","32.4","03/20/2022"
"235440","MI","98.6","80.7","95.8","27.4","03/20/2022"
"235441","MI","91.6","71.7","68.4","16.5","03/20/2022"
"235442","MI","89.6","74.5","76.7","32.9","03/20/2022"
"235443","MI","73.8","63.0","71.2","38.6","03/20/2022"
"235444","MI","81.6","85.7","35.5","22.6","03/20/2022"
"235445","MI","83.3","99.1","89.1","57.4","03/20/2022"
"235446","MI","88.7","63.9","90.5","47.4","03/20/2022"
"235447","MI","91.1","80.0","68.3","32.3","03/20/2022"
"235450","MI","86.2","65.6","76.0","50.0","03/20/2022"
"235451","MI","79.0","90.9","100.0","28.8","03/20/2022"
"235452","MI","74.1","77.0","82.1","23.7","03/20/2022"
"235453","MI","93.0","91.0","82.8","11.4","03/20/2022"
"235454","MI","66.7","96.2","0.0","0.0","03/20/2022"
"235456","MI","91.6","59.6","96.1","26.5","03/20/2022"
"235458","MI","94.0","90.1","89.7","32.6","03/20/2022"
"235459","MI","80.3","62.2","81.6","40.6","03/20/2022"
"235460","MI","83.3","87.4","85.0","34.5","03/20/2022"
"235461","MI","83.8","75.7","80.6","55.2","03/20/2022"
"235462","MI","92.1","93.2","98.6","27.1","03/20/2022"
"235463","MI","93.3","92.6","87.8","14.0","03/20/2022"
"235464","MI","81.6","79.3","100.0","30.4","03/20/2022"
"235467","MI","100.0","82.4","55.7","36.0","03/20/2022"
"235468","MI","79.7","78.2","89.4","30.9","03/20/2022"
"235470","MI","100.0","100.0","97.2","21.7","03/20/2022"
"235471","MI","90.3","97.2","90.8","77.4","03/20/2022"
"235472","MI","88.9","67.4","81.3","45.2","03/20/2022"
"235473","MI","78.9","61.6","52.0","13.2","03/20/2022"
"235475","MI","61.7","67.4","100.0","48.4","03/20/2022"
"235476","MI","72.0","78.7","46.3","13.3","03/20/2022"
"235477","MI","100.0","74.6","13.6","56.6","03/20/2022"
"235479","MI","91.9","94.3","93.7","43.3","03/20/2022"
"235480","MI","79.2","72.8","63.2","19.5","03/20/2022"
"235481","MI","93.0","75.9","90.9","40.7","03/20/2022"
"235482","MI","100.0","93.1","98.4","35.8","03/20/2022"
"235483","MI","85.9","85.6","74.0","25.3","03/20/2022"
"235484","MI","94.9","90.1","89.2","47.5","03/20/2022"
"235485","MI","83.3","75.4","88.3","41.1","03/20/2022"
"235486","MI","81.1","77.1","24.7","24.2","03/20/2022"
"235487","MI","81.7","88.8","78.7","32.7","03/20/2022"
"235488","MI","94.0","89.6","89.7","46.9","03/20/2022"
"235489","MI","82.8","81.2","71.7","24.6","03/20/2022"
"235490","MI","85.2","86.6","88.5","23.6","03/20/2022"
"235491","MI","90.5","85.4","77.1","21.9","03/20/2022"
"235492","MI","78.3","94.8","57.4","22.8","03/20/2022"
"235495","MI","82.9","63.9","84.5","34.8","03/20/2022"
"235498","MI","78.7","95.3","71.8","26.6","03/20/2022"
"235499","MI","90.9","71.3","90.0","40.2","03/20/2022"
"235500","MI","53.7","88.6","63.6","25.2","03/20/2022"
"235502","MI","96.1","92.7","78.4","30.3","03/20/2022"
"235503","MI","88.8","88.9","87.4","21.9","03/20/2022"
"235504","MI","83.1","50.5","96.3","23.4","03/20/2022"
"235506","MI","78.7","74.7","76.6","41.4","03/20/2022"
"235507","MI","97.1","93.1","100.0","27.8","03/20/2022"
"235508","MI","85.9","90.7","94.9","20.4","03/20/2022"
"235509","MI","64.3","74.3","74.3","27.2","03/20/2022"
"235511","MI","90.9","92.9","86.7","53.8","03/20/2022"
"235513","MI","89.7","84.2","88.6","33.3","03/20/2022"
"235514","MI","83.8","88.0","64.9","52.5","03/20/2022"
"235515","MI","96.7","92.0","89.8","32.1","03/20/2022"
"235516","MI","77.5","78.4","68.7","0.8","03/20/2022"
"235517","MI","82.4","82.4","82.1","41.7","03/20/2022"
"235518","MI","86.4","79.8","87.6","37.3","03/20/2022"
"235519","MI","81.8","76.9","80.6","60.0","03/20/2022"
"235520","MI","79.5","79.8","67.2","22.9","03/20/2022"
"235521","MI","87.2","82.4","77.9","50.0","03/20/2022"
"235522","MI","93.8","88.1","80.0","59.3","03/20/2022"
"235523","MI","100.0","93.1","66.7","34.0","03/20/2022"
"235524","MI","94.4","91.1","76.5","9.8","03/20/2022"
"235525","MI","97.1","87.0","70.6","40.0","03/20/2022"
"235526","MI","96.9","88.5","95.2","79.2","03/20/2022"
"235527","MI","65.9","90.8","16.5","8.5","03/20/2022"
"235528","MI","91.6","82.0","96.6","17.8","03/20/2022"
"235529","MI","89.2","83.4","94.6","1.8","03/20/2022"
"235530","MI","100.0","95.9","98.2","55.6","03/20/2022"
"235532","MI","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"235535","MI","100.0","51.5","78.1","41.2","03/20/2022"
"235536","MI","94.6","78.8","62.3","28.6","03/20/2022"
"235538","MI","96.8","88.2","90.0","31.1","03/20/2022"
"235539","MI","71.2","85.9","70.2","13.3","03/20/2022"
"235540","MI","100.0","90.0","94.1","62.2","03/20/2022"
"235541","MI","69.4","70.0","64.4","28.6","03/20/2022"
"235542","MI","85.7","63.5","75.8","42.5","03/20/2022"
"235543","MI","75.9","71.7","86.4","66.7","03/20/2022"
"235545","MI","95.2","69.3","84.8","32.1","03/20/2022"
"235547","MI","94.2","98.7","100.0","100.0","03/20/2022"
"235548","MI","94.1","98.8","87.5","20.3","03/20/2022"
"235549","MI","97.3","82.1","72.2","34.5","03/20/2022"
"235550","MI","77.9","72.7","73.7","22.2","03/20/2022"
"235551","MI","93.0","78.4","85.0","20.7","03/20/2022"
"235552","MI","81.8","73.7","86.7","41.1","03/20/2022"
"235553","MI","82.8","85.4","86.8","36.8","03/20/2022"
"235554","MI","97.5","91.9","100.0","46.4","03/20/2022"
"235555","MI","94.9","72.1","77.7","32.1","03/20/2022"
"235556","MI","77.5","66.9","53.8","27.8","03/20/2022"
"235558","MI","83.3","68.5","76.0","48.6","03/20/2022"
"235559","MI","100.0","95.3","100.0","100.0","03/20/2022"
"235561","MI","93.8","82.8","92.2","24.3","03/20/2022"
"235562","MI","0.0","0.0","0.0","0.0","03/20/2022"
"235563","MI","86.3","74.0","69.3","38.7","03/20/2022"
"235565","MI","94.8","72.0","94.5","67.8","03/20/2022"
"235566","MI","80.6","74.4","80.0","31.3","03/20/2022"
"235567","MI","100.0","65.4","68.8","54.9","03/20/2022"
"235569","MI","85.5","83.1","80.9","48.6","03/20/2022"
"235574","MI","91.7","51.0","87.3","41.2","03/20/2022"
"235577","MI","40.0","52.0","50.0","43.6","03/20/2022"
"235578","MI","91.4","75.9","75.0","56.6","03/20/2022"
"235580","MI","76.0","76.1","82.1","33.6","03/20/2022"
"235582","MI","73.0","70.8","84.3","13.5","03/20/2022"
"235583","MI","84.2","75.0","65.6","31.6","03/20/2022"
"235584","MI","89.1","63.1","80.5","5.7","03/20/2022"
"235585","MI","95.8","79.1","95.7","26.5","03/20/2022"
"235587","MI","90.6","88.2","85.1","39.4","03/20/2022"
"235588","MI","94.7","100.0","100.0","63.0","03/20/2022"
"235589","MI","82.7","58.7","86.6","42.0","03/20/2022"
"235590","MI","86.3","93.7","86.4","26.0","03/20/2022"
"235591","MI","100.0","68.5","87.9","68.0","03/20/2022"
"235592","MI","83.3","74.4","86.7","34.4","03/20/2022"
"235593","MI","91.0","88.3","59.2","27.2","03/20/2022"
"235594","MI","92.5","80.0","83.7","50.0","03/20/2022"
"235595","MI","72.2","59.4","23.1","21.7","03/20/2022"
"235596","MI","98.8","81.3","58.8","9.9","03/20/2022"
"235598","MI","76.4","78.6","38.2","23.1","03/20/2022"
"235599","MI","93.8","83.0","85.5","43.4","03/20/2022"
"235600","MI","85.1","70.2","62.2","56.5","03/20/2022"
"235601","MI","96.1","77.8","71.4","49.2","03/20/2022"
"235602","MI","88.2","90.1","92.0","58.2","03/20/2022"
"235604","MI","0.0","0.0","0.0","0.0","03/20/2022"
"235605","MI","86.2","90.2","84.0","43.2","03/20/2022"
"235606","MI","88.6","71.8","79.5","54.9","03/20/2022"
"235607","MI","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"235608","MI","89.6","82.1","93.3","70.8","03/20/2022"
"235609","MI","88.9","80.5","82.1","42.4","03/20/2022"
"235611","MI","88.0","93.5","100.0","46.5","03/20/2022"
"235612","MI","100.0","92.0","94.3","47.8","03/20/2022"
"235613","MI","82.8","88.5","45.8","48.1","03/20/2022"
"235614","MI","97.6","83.7","80.0","28.0","03/20/2022"
"235615","MI","83.9","97.6","78.8","11.4","03/20/2022"
"235617","MI","76.9","86.1","75.0","41.9","03/20/2022"
"235618","MI","66.1","91.0","95.9","45.7","03/20/2022"
"235619","MI","91.8","71.9","84.6","40.8","03/20/2022"
"235621","MI","80.0","86.3","75.0","29.9","03/20/2022"
"235622","MI","94.1","86.3","96.3","31.7","03/20/2022"
"235623","MI","98.4","89.2","98.3","50.0","03/20/2022"
"235624","MI","96.4","59.6","94.3","48.3","03/20/2022"
"235625","MI","96.7","77.5","79.7","35.4","03/20/2022"
"235626","MI","77.2","90.1","71.8","39.8","03/20/2022"
"235628","MI","100.0","90.0","100.0","77.8","03/20/2022"
"235630","MI","90.2","89.2","77.0","50.0","03/20/2022"
"235632","MI","81.0","90.2","49.4","10.0","03/20/2022"
"235633","MI","91.7","82.0","81.8","64.4","03/20/2022"
"235634","MI","100.0","79.4","100.0","28.6","03/20/2022"
"235635","MI","91.8","88.2","86.7","36.1","03/20/2022"
"235636","MI","81.6","79.4","85.5","33.6","03/20/2022"
"235637","MI","71.0","72.1","72.7","32.3","03/20/2022"
"235638","MI","88.0","80.7","63.6","48.7","03/20/2022"
"235639","MI","80.4","95.8","88.9","31.6","03/20/2022"
"235640","MI","94.0","85.5","6.4","16.9","03/20/2022"
"235641","MI","93.9","69.6","77.4","10.3","03/20/2022"
"235642","MI","90.0","94.5","33.3","30.1","03/20/2022"
"235643","MI","92.1","86.9","85.7","66.4","03/20/2022"
"235644","MI","81.8","77.3","77.8","38.8","03/20/2022"
"235646","MI","88.0","84.9","88.6","43.8","03/20/2022"
"235647","MI","81.3","82.4","92.3","24.3","03/20/2022"
"235648","MI","97.6","95.9","95.1","59.3","03/20/2022"
"235649","MI","100.0","91.7","100.0","60.6","03/20/2022"
"235650","MI","85.3","87.3","82.8","39.3","03/20/2022"
"235651","MI","90.0","64.5","93.3","55.1","03/20/2022"
"235652","MI","86.4","59.1","53.9","33.3","03/20/2022"
"235653","MI","84.3","80.3","91.4","49.1","03/20/2022"
"235654","MI","77.8","82.7","73.5","37.0","03/20/2022"
"235655","MI","84.5","87.3","82.8","24.3","03/20/2022"
"235656","MI","92.0","79.4","95.7","38.3","03/20/2022"
"235657","MI","87.4","91.2","85.6","53.2","03/20/2022"
"235658","MI","93.7","94.9","83.8","41.7","03/20/2022"
"235659","MI","67.2","78.4","59.8","7.0","03/20/2022"
"235660","MI","86.0","93.9","74.4","28.3","03/20/2022"
"235661","MI","69.4","88.0","96.0","27.4","03/20/2022"
"235662","MI","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"235663","MI","92.6","88.2","72.0","43.0","03/20/2022"
"235664","MI","80.0","90.3","37.5","7.7","03/20/2022"
"235665","MI","77.2","80.7","71.8","33.3","03/20/2022"
"235666","MI","90.1","73.8","90.5","42.1","03/20/2022"
"235668","MI","90.1","69.0","90.4","46.6","03/20/2022"
"235669","MI","92.1","92.4","82.9","51.8","03/20/2022"
"235700","MI","82.8","94.3","79.2","14.8","03/20/2022"
"235701","MI","87.9","98.0","96.1","47.4","03/20/2022"
"235702","MI","85.7","86.2","70.0","48.1","03/20/2022"
"235703","MI","72.2","88.6","92.3","80.6","03/20/2022"
"235704","MI","87.6","57.2","92.9","21.7","03/20/2022"
"235705","MI","84.6","90.0","100.0","100.0","03/20/2022"
"235706","MI","83.3","61.0","84.7","24.9","03/20/2022"
"235707","MI","80.4","95.7","80.5","46.8","03/20/2022"
