CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,Phone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_RS_RATE _97_5,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_COMP_PERF,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_006_01_MSPB_NUMB,22,,10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_006_01_MSPB_SCORE,0.58,,10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_002_01_NUMERATOR,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_002_01_DENOMINATOR,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_002_01_OBS_RATE,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_002_01_ADJ_RATE,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_001_01_NUMERATOR,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_001_01_DENOMINATOR,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_001_01_OBS_RATE,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_013_01_NUMERATOR,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_013_01_DENOMINATOR,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_013_01_OBS_RATE,Not Available,"10",10/01/2018,09/30/2019
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_OBS_READM,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_VOLUME,9,,10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_OBS,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_RSRR,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_RSRR_2_5,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_RSRR_97_5,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_004_01_PPR_PD_COMP_PERF,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_NUMBER,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_VOLUME,9,,10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_OBS_RATE,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_RS_RATE,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_RS_RATE_2_5,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_RS_RATE _97_5,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_005_01_DTC_COMP_PERF,Not Available,"9",10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_006_01_MSPB_NUMB,9,,10/01/2016,09/30/2018
010008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,04,S_006_01_MSPB_SCORE,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_002_01_NUMERATOR,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_002_01_DENOMINATOR,9,"13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_002_01_OBS_RATE,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_002_01_ADJ_RATE,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_001_01_NUMERATOR,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_001_01_DENOMINATOR,9,"13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_001_01_OBS_RATE,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_013_01_NUMERATOR,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_013_01_DENOMINATOR,9,"13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_013_01_OBS_RATE,Not Available,"9,13",10/01/2018,09/30/2019
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_OBS_READM,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_VOLUME,13,,10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_OBS,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_RSRR,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_RSRR_2_5,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_RSRR_97_5,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_004_01_PPR_PD_COMP_PERF,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_NUMBER,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_VOLUME,12,,10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_OBS_RATE,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_RS_RATE,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_RS_RATE_2_5,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_RS_RATE _97_5,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_005_01_DTC_COMP_PERF,Not Available,"9",10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_006_01_MSPB_NUMB,13,,10/01/2016,09/30/2018
010021,"DALE MEDICAL CENTER","126 HOSPITAL AVE",,OZARK,AL,36360,DALE,(334) 774-2601,04,S_006_01_MSPB_SCORE,Not Available,"9",10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_002_01_NUMERATOR,0,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_002_01_DENOMINATOR,43,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_002_01_OBS_RATE,0.0,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_002_01_ADJ_RATE,0.00,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_001_01_NUMERATOR,43,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_001_01_DENOMINATOR,43,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_001_01_OBS_RATE,100.0,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_013_01_NUMERATOR,1,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_013_01_DENOMINATOR,43,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_013_01_OBS_RATE,2.3,"13",10/01/2018,09/30/2019
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_OBS_READM,5,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_VOLUME,86,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_OBS,5.81,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_RSRR,7.01,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_RSRR_2_5,5.34,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_RSRR_97_5,8.94,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_NUMBER,64,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_VOLUME,83,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_OBS_RATE,77.11,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_RS_RATE,72.83,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_RS_RATE_2_5,64.09,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_RS_RATE _97_5,80.66,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_005_01_DTC_COMP_PERF,Better than the National Rate,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_006_01_MSPB_NUMB,84,,10/01/2016,09/30/2018
010022,"FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,04,S_006_01_MSPB_SCORE,0.51,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_002_01_NUMERATOR,1,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_002_01_DENOMINATOR,59,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_002_01_OBS_RATE,1.7,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_002_01_ADJ_RATE,2.26,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_001_01_NUMERATOR,58,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_001_01_DENOMINATOR,59,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_001_01_OBS_RATE,98.3,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_013_01_NUMERATOR,0,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_013_01_DENOMINATOR,59,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_013_01_OBS_RATE,0.0,,10/01/2018,09/30/2019
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_OBS_READM,7,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_VOLUME,115,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_OBS,6.09,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_RSRR,6.92,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_RSRR_2_5,5.22,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_RSRR_97_5,8.94,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_NUMBER,94,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_VOLUME,117,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_OBS_RATE,80.34,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_RS_RATE,84.71,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_RS_RATE_2_5,76.12,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_RS_RATE _97_5,91.75,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_005_01_DTC_COMP_PERF,Better than the National Rate,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_006_01_MSPB_NUMB,140,,10/01/2016,09/30/2018
010034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD",,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,04,S_006_01_MSPB_SCORE,0.59,,10/01/2016,09/30/2018
010036,"ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET",,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,04,S_002_01_NUMERATOR,Not Available,"9,13",10/01/2018,09/30/2019
010036,"ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET",,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,04,S_002_01_DENOMINATOR,5,"13",10/01/2018,09/30/2019
